trial_id,flops,acc,num_transformers,embedding_dim,num_heads,dropout
18,0.026168,0.6524516129032258,4,8,2,0.0
14,0.032648,0.6563709677419355,5,8,2,0.0
24,0.039128,0.6564032258064516,6,8,2,0.0
53,0.0892,0.6625483870967742,4,16,2,0.0
12,0.111376,0.6652903225806451,5,16,2,0.0
23,0.24464,0.6670967741935484,3,32,2,0.0
21,0.325856,0.6684516129032259,4,32,2,0.0
55,0.407072,0.670016129032258,5,32,2,0.0
6,0.931654,0.6705,3,64,4,0.0
7,1.241544,0.6715322580645161,4,64,2,0.0
39,1.861324,0.6718225806451613,6,64,4,0.05
22,3.63278,0.6723548387096774,3,128,8,0.0
42,4.842384,0.6731774193548387,4,128,8,0.05
